Image Index,points_left_lung,points_right_lung
00000061_025.png,"[(361, 749), (387, 675), (420, 569), (437, 485), (457, 350), (454, 290), (458, 217), (458, 177), (446, 94), (354, 78), (280, 145), (198, 241), (165, 303), (131, 396), (106, 474), (90, 563), (110, 662), (153, 723), (241, 747), (317, 769)]","[(869, 928), (876, 719), (864, 573), (849, 352), (794, 243), (708, 166), (615, 136), (561, 157), (528, 244), (537, 316), (592, 352), (597, 403), (553, 439), (526, 490), (516, 558), (516, 658), (526, 707), (554, 767), (584, 780), (599, 789), (725, 864), (753, 890), (799, 941), (827, 987), (867, 933)]"
00000079_000.png,"[(68, 1012), (109, 941), (214, 907), (313, 897), (372, 893), (439, 867), (436, 802), (433, 725), (436, 555), (449, 471), (472, 397), (483, 310), (488, 241), (494, 162), (482, 101), (393, 73), (345, 70), (267, 88), (167, 192), (116, 326), (116, 404), (96, 556), (88, 634), (62, 721), (50, 791), (41, 895), (56, 960)]","[(934, 1013), (958, 912), (945, 821), (922, 669), (913, 547), (908, 425), (879, 287), (857, 214), (787, 124), (727, 73), (655, 63), (579, 99), (538, 185), (546, 250), (577, 280), (599, 318), (594, 365), (569, 398), (556, 456), (556, 512), (564, 591), (588, 624), (634, 696), (661, 732), (699, 791), (715, 855), (657, 908), (668, 933), (743, 940), (851, 967), (877, 982), (910, 1012)]"
00000080_005.png,"[(198, 722), (267, 659), (353, 636), (414, 674), (481, 687), (490, 621), (492, 545), (499, 480), (521, 389), (536, 316), (542, 213), (494, 151), (404, 141), (309, 177), (252, 250), (233, 313), (219, 397), (216, 490), (211, 568), (211, 624), (203, 677), (194, 715)]","[(646, 430), (649, 379), (634, 330), (597, 282), (593, 207), (613, 158), (666, 121), (735, 124), (793, 153), (846, 204), (874, 260), (881, 345), (885, 424), (878, 507), (878, 568), (887, 627), (888, 681), (900, 749), (883, 752), (840, 718), (803, 687), (767, 632), (747, 594), (700, 553), (671, 524), (649, 482), (647, 443)]"
00000083_000.png,"[(88, 625), (144, 574), (201, 566), (230, 574), (288, 584), (376, 581), (394, 558), (366, 532), (364, 486), (369, 451), (395, 391), (413, 353), (440, 338), (470, 311), (494, 267), (500, 198), (497, 140), (478, 91), (422, 53), (373, 45), (278, 81), (189, 131), (162, 175), (135, 235), (110, 354), (100, 428), (97, 490), (92, 512), (90, 528), (83, 579), (81, 607)]","[(707, 462), (674, 433), (628, 414), (587, 393), (575, 359), (567, 291), (593, 266), (585, 192), (583, 147), (581, 87), (603, 50), (666, 51), (716, 63), (772, 94), (819, 123), (863, 213), (887, 290), (900, 388), (903, 466), (894, 557), (890, 634), (887, 666), (886, 691), (790, 606), (752, 537), (732, 502), (702, 470)]"
00000084_000.png,"[(430, 662), (408, 563), (402, 483), (406, 397), (447, 341), (468, 264), (479, 230), (449, 175), (402, 153), (324, 153), (255, 192), (201, 233), (160, 302), (139, 365), (138, 408), (129, 472), (125, 555), (125, 615), (135, 649), (155, 673), (207, 652), (241, 635), (302, 638), (355, 647), (373, 653), (398, 660), (427, 672)]","[(584, 392), (556, 368), (562, 323), (572, 289), (537, 249), (530, 194), (557, 160), (633, 132), (700, 143), (779, 166), (819, 227), (857, 266), (874, 347), (894, 461), (905, 514), (911, 580), (895, 647), (886, 693), (886, 745), (878, 774), (830, 771), (784, 717), (778, 690), (813, 629), (840, 593), (809, 548), (748, 502), (695, 479), (645, 451), (604, 422), (583, 401)]"
00000096_006.png,"[(129, 228), (169, 162), (262, 123), (397, 99), (439, 130), (466, 194), (469, 275), (452, 338), (428, 395), (391, 425), (404, 493), (361, 544), (360, 588), (376, 628), (397, 654), (426, 689), (399, 711), (316, 740), (264, 762), (238, 797), (138, 861), (98, 874), (52, 811), (31, 722), (26, 668), (51, 569), (68, 432), (79, 337), (99, 274)]","[(564, 138), (598, 102), (697, 108), (769, 157), (818, 174), (900, 248), (923, 334), (947, 430), (955, 485), (948, 548), (962, 640), (959, 674), (937, 777), (937, 793), (854, 779), (925, 701), (906, 614), (824, 512), (758, 475), (695, 440), (630, 371), (606, 339), (586, 285), (564, 262), (549, 208), (560, 149)]"
00000099_003.png,"[(151, 587), (148, 503), (166, 254), (195, 166), (244, 69), (319, 26), (397, 26), (440, 33), (511, 130), (464, 273), (443, 416), (440, 488), (438, 642), (432, 717), (405, 771), (317, 792), (270, 796), (180, 699), (155, 654), (146, 602)]","[(528, 191), (547, 73), (589, 33), (657, 34), (726, 75), (778, 105), (818, 157), (848, 275), (851, 422), (845, 495), (829, 628), (795, 767), (779, 845), (743, 851), (612, 727), (564, 676), (535, 608), (517, 484), (513, 424), (514, 342), (523, 274), (525, 239), (526, 215)]"
00000099_006.png,"[(326, 73), (261, 92), (131, 176), (102, 245), (84, 327), (74, 448), (66, 493), (121, 603), (167, 643), (334, 610), (396, 557), (420, 469), (438, 357), (467, 236), (470, 173), (458, 102), (432, 84), (383, 66), (360, 66)]","[(527, 77), (510, 227), (509, 375), (507, 564), (607, 599), (677, 605), (803, 561), (831, 528), (872, 450), (887, 323), (831, 197), (776, 124), (698, 81), (626, 62), (565, 60), (537, 67)]"
00000103_001.png,"[(149, 957), (218, 870), (312, 841), (372, 803), (392, 758), (416, 703), (425, 572), (438, 515), (454, 432), (473, 323), (463, 206), (392, 90), (330, 101), (235, 155), (185, 239), (162, 380), (160, 435), (148, 617), (132, 790), (130, 846), (130, 897), (128, 922)]","[(535, 454), (553, 414), (534, 324), (523, 255), (522, 183), (552, 132), (630, 77), (741, 121), (772, 246), (810, 385), (822, 484), (820, 578), (837, 754), (858, 846), (862, 966), (765, 904), (688, 888), (608, 882), (558, 812), (556, 730), (551, 604), (547, 542), (543, 485)]"
00000116_013.png,"[(115, 876), (136, 719), (127, 530), (162, 392), (218, 266), (283, 211), (383, 162), (417, 156), (438, 194), (444, 251), (445, 342), (445, 425), (438, 630), (415, 713), (367, 775), (253, 813), (188, 849), (153, 865)]","[(511, 197), (495, 269), (494, 350), (494, 381), (496, 439), (523, 501), (524, 532), (568, 708), (588, 757), (626, 828), (691, 876), (789, 917), (770, 837), (784, 741), (793, 607), (774, 447), (695, 278), (661, 227), (567, 202), (526, 195)]"
00000116_019.png,"[(323, 198), (234, 270), (202, 376), (190, 551), (152, 631), (157, 707), (170, 759), (270, 758), (303, 723), (345, 632), (374, 566), (439, 470), (496, 369), (508, 299), (514, 192), (480, 146), (392, 147), (344, 180)]","[(544, 162), (551, 324), (551, 361), (555, 444), (561, 461), (590, 516), (629, 622), (668, 682), (685, 743), (732, 816), (789, 815), (788, 656), (771, 458), (771, 406), (760, 275), (673, 193), (632, 166), (580, 159)]"
00000116_032.png,"[(353, 235), (259, 349), (195, 472), (169, 546), (175, 625), (179, 683), (193, 705), (277, 701), (333, 682), (446, 609), (469, 535), (475, 434), (475, 318), (445, 261), (395, 226), (360, 226)]","[(517, 193), (522, 290), (560, 354), (584, 425), (608, 482), (608, 557), (611, 620), (618, 672), (659, 750), (682, 760), (755, 762), (802, 718), (804, 587), (806, 508), (781, 370), (729, 277), (616, 181), (543, 168)]"
00000116_040.png,"[(334, 102), (221, 220), (200, 286), (204, 369), (206, 443), (226, 547), (256, 605), (299, 653), (331, 668), (350, 614), (324, 525), (396, 436), (433, 371), (465, 267), (470, 178), (467, 108), (439, 79), (369, 79)]","[(529, 79), (546, 206), (556, 291), (629, 402), (651, 497), (656, 567), (655, 710), (693, 743), (812, 745), (833, 632), (803, 382), (800, 288), (781, 181), (694, 60), (657, 40), (561, 45)]"
00000118_011.png,"[(318, 208), (234, 271), (170, 419), (144, 563), (142, 664), (143, 765), (124, 832), (147, 928), (449, 896), (499, 812), (512, 680), (489, 563), (488, 402), (482, 294), (453, 228), (374, 195), (336, 194)]","[(636, 185), (587, 240), (556, 295), (546, 314), (604, 328), (632, 378), (615, 420), (601, 485), (613, 601), (667, 693), (691, 709), (729, 740), (740, 796), (715, 867), (815, 891), (888, 913), (983, 931), (933, 661), (933, 535), (873, 278), (802, 202), (672, 147), (637, 156)]"
00000121_004.png,"[(310, 263), (152, 379), (141, 516), (132, 611), (96, 704), (69, 768), (194, 756), (224, 751), (338, 777), (414, 775), (442, 732), (459, 660), (498, 525), (504, 435), (506, 296), (493, 239), (396, 199), (319, 233)]","[(538, 259), (565, 392), (625, 552), (698, 663), (744, 740), (749, 821), (736, 861), (822, 890), (866, 920), (890, 932), (890, 836), (868, 686), (845, 528), (825, 421), (777, 343), (720, 286), (654, 246), (589, 233), (558, 236)]"
00000127_007.png,"[(304, 138), (221, 261), (219, 364), (204, 472), (198, 567), (210, 631), (220, 702), (337, 664), (402, 573), (439, 551), (528, 470), (518, 355), (509, 287), (502, 186), (498, 164), (415, 111), (337, 116)]","[(522, 131), (560, 214), (561, 328), (590, 533), (622, 603), (657, 701), (715, 733), (777, 761), (832, 765), (837, 688), (809, 491), (797, 416), (780, 294), (730, 171), (691, 122), (591, 90), (541, 116)]"
00000132_002.png,"[(287, 99), (206, 184), (188, 253), (177, 351), (164, 479), (175, 578), (169, 641), (260, 630), (310, 613), (396, 581), (427, 563), (415, 469), (406, 403), (416, 327), (444, 221), (450, 180), (450, 117), (402, 63), (319, 67), (301, 80)]","[(529, 105), (539, 230), (544, 301), (611, 420), (638, 464), (674, 538), (708, 587), (768, 626), (807, 650), (832, 671), (843, 682), (841, 599), (820, 499), (817, 445), (817, 350), (818, 264), (812, 205), (761, 125), (685, 93), (605, 80), (560, 92)]"
00000154_001.png,"[(321, 171), (211, 246), (175, 321), (141, 407), (123, 507), (104, 587), (94, 696), (94, 755), (117, 793), (174, 737), (240, 708), (310, 707), (393, 720), (454, 716), (456, 650), (448, 593), (465, 498), (495, 397), (507, 304), (507, 229), (497, 171), (478, 128), (392, 134), (351, 153)]","[(560, 142), (574, 290), (582, 349), (609, 355), (640, 390), (639, 437), (660, 490), (736, 545), (754, 561), (782, 599), (825, 671), (835, 699), (861, 717), (935, 749), (954, 755), (978, 678), (941, 530), (933, 461), (915, 381), (894, 306), (850, 234), (784, 183), (684, 146), (634, 135), (582, 132)]"
00000165_008.png,"[(301, 178), (212, 250), (174, 311), (163, 390), (141, 532), (129, 623), (96, 715), (78, 789), (60, 865), (196, 796), (220, 753), (321, 714), (401, 682), (428, 609), (443, 467), (443, 364), (444, 251), (432, 189), (370, 155), (326, 167)]","[(571, 195), (561, 312), (620, 349), (626, 411), (611, 492), (619, 541), (637, 586), (639, 621), (670, 680), (697, 707), (723, 777), (806, 789), (837, 794), (899, 823), (932, 847), (915, 744), (892, 658), (892, 557), (874, 365), (853, 281), (723, 132), (650, 107), (592, 137), (572, 184)]"
00000175_001.png,"[(457, 171), (383, 232), (294, 414), (277, 465), (263, 538), (253, 606), (237, 672), (241, 698), (325, 665), (408, 671), (441, 701), (495, 738), (516, 600), (528, 532), (553, 448), (580, 329), (585, 256), (595, 175), (507, 130), (478, 151)]","[(657, 165), (638, 269), (661, 437), (687, 491), (745, 540), (787, 604), (814, 653), (856, 705), (885, 733), (934, 734), (942, 621), (927, 537), (890, 396), (871, 352), (846, 303), (811, 230), (763, 176), (731, 143), (687, 134), (677, 138)]"
00000175_002.png,"[(164, 648), (175, 509), (242, 328), (265, 235), (313, 163), (379, 95), (462, 74), (512, 79), (492, 170), (495, 221), (521, 307), (489, 353), (460, 417), (451, 492), (412, 576), (429, 616), (436, 655), (407, 643), (244, 616), (188, 640), (172, 652)]","[(606, 107), (585, 228), (585, 327), (652, 432), (677, 486), (727, 589), (764, 627), (812, 666), (874, 674), (894, 639), (898, 523), (896, 432), (827, 250), (806, 186), (725, 134), (679, 93), (652, 68), (617, 86)]"
00000181_001.png,"[(191, 584), (177, 478), (224, 304), (243, 224), (272, 152), (355, 81), (436, 65), (534, 74), (505, 246), (509, 279), (499, 352), (478, 365), (410, 449), (422, 524), (427, 549), (442, 578), (359, 618), (326, 630), (265, 620), (213, 603)]","[(599, 131), (578, 210), (602, 266), (609, 326), (612, 391), (618, 471), (658, 523), (671, 543), (728, 606), (722, 645), (750, 704), (821, 726), (890, 706), (900, 568), (875, 401), (864, 316), (811, 180), (755, 87), (648, 56), (602, 101)]"
00000181_017.png,"[(352, 304), (326, 414), (269, 563), (268, 630), (273, 687), (408, 649), (477, 653), (523, 652), (573, 593), (575, 517), (590, 398), (607, 283), (596, 171), (528, 164), (425, 207), (395, 238), (363, 286)]","[(689, 245), (662, 372), (649, 495), (691, 514), (705, 578), (715, 633), (700, 686), (699, 747), (756, 804), (836, 800), (938, 800), (939, 575), (925, 453), (888, 358), (803, 261), (756, 228), (707, 217)]"
00000181_035.png,"[(237, 529), (257, 375), (288, 261), (347, 164), (423, 93), (478, 65), (598, 74), (548, 248), (538, 308), (540, 378), (540, 453), (515, 543), (513, 584), (504, 632), (501, 656), (397, 670), (292, 658), (235, 604), (233, 553)]","[(659, 147), (634, 208), (607, 296), (593, 438), (602, 472), (614, 540), (686, 668), (731, 708), (832, 723), (877, 699), (901, 639), (907, 530), (908, 442), (897, 328), (868, 262), (792, 145), (705, 106), (675, 127)]"
00000188_001.png,"[(240, 148), (184, 237), (170, 317), (153, 422), (135, 524), (119, 616), (96, 689), (80, 767), (93, 888), (107, 948), (160, 959), (231, 878), (322, 827), (384, 782), (411, 739), (464, 628), (461, 479), (470, 409), (492, 300), (485, 211), (460, 136), (424, 94), (344, 90), (296, 110), (264, 132)]","[(573, 134), (650, 92), (715, 112), (773, 136), (814, 183), (848, 284), (888, 448), (889, 577), (921, 642), (933, 715), (950, 818), (945, 889), (930, 923), (857, 890), (764, 833), (683, 833), (624, 807), (691, 778), (714, 705), (674, 655), (633, 591), (613, 507), (608, 456), (594, 394), (575, 330), (560, 225), (560, 190), (564, 143)]"
00000194_004.png,"[(176, 714), (179, 666), (202, 589), (202, 524), (202, 438), (202, 308), (221, 238), (267, 191), (326, 117), (386, 101), (474, 91), (561, 93), (559, 190), (561, 251), (541, 323), (529, 360), (524, 407), (531, 528), (531, 599), (510, 696), (509, 726), (480, 723), (347, 669), (299, 676), (183, 711)]","[(606, 164), (665, 80), (751, 105), (836, 153), (874, 203), (930, 262), (941, 318), (946, 419), (947, 492), (950, 572), (986, 651), (993, 721), (1003, 762), (994, 811), (953, 816), (834, 813), (759, 789), (721, 751), (781, 706), (799, 645), (727, 524), (681, 474), (638, 403), (617, 251), (613, 195)]"
00000206_000.png,"[(29, 679), (58, 546), (89, 410), (119, 264), (163, 203), (251, 139), (335, 125), (429, 95), (458, 96), (463, 190), (448, 392), (439, 462), (415, 561), (413, 613), (358, 624), (222, 671), (110, 725), (51, 760), (16, 703)]","[(544, 268), (555, 153), (611, 124), (701, 121), (789, 155), (846, 207), (890, 295), (921, 426), (954, 549), (954, 684), (966, 745), (953, 770), (862, 737), (800, 687), (786, 621), (732, 566), (623, 481), (594, 438), (556, 380), (566, 353), (594, 294), (550, 268)]"
00000231_005.png,"[(92, 530), (128, 370), (165, 209), (214, 135), (275, 98), (393, 55), (459, 75), (495, 109), (498, 275), (498, 395), (487, 482), (479, 584), (461, 650), (418, 659), (314, 683), (257, 689), (149, 675), (73, 616), (96, 560)]","[(546, 228), (591, 256), (577, 337), (586, 390), (625, 402), (664, 464), (702, 521), (720, 574), (712, 639), (716, 671), (825, 686), (941, 665), (990, 523), (975, 428), (940, 255), (896, 160), (805, 79), (727, 49), (638, 46), (563, 86), (542, 188)]"
00000232_000.png,"[(224, 263), (275, 222), (343, 190), (455, 187), (467, 301), (457, 380), (457, 468), (462, 605), (467, 675), (420, 730), (349, 756), (246, 780), (173, 817), (138, 856), (135, 734), (179, 613), (196, 478), (213, 391), (224, 297)]","[(556, 230), (617, 191), (733, 191), (761, 247), (788, 328), (796, 452), (825, 599), (846, 723), (855, 809), (858, 860), (791, 835), (752, 813), (637, 812), (596, 822), (533, 807), (515, 766), (562, 743), (665, 730), (676, 689), (617, 593), (581, 530), (534, 428), (529, 362), (539, 299), (550, 246)]"
00000239_003.png,"[(129, 576), (124, 489), (139, 347), (162, 244), (210, 196), (325, 156), (391, 159), (436, 202), (453, 268), (438, 395), (438, 486), (436, 582), (436, 623), (419, 657), (358, 679), (222, 707), (158, 722), (127, 726), (120, 662), (131, 597)]","[(500, 241), (549, 290), (569, 322), (567, 356), (563, 410), (589, 464), (652, 509), (698, 586), (699, 606), (695, 621), (720, 664), (780, 678), (822, 696), (860, 715), (856, 615), (828, 492), (815, 425), (797, 312), (748, 208), (662, 125), (591, 124), (480, 212)]"
00000242_000.png,"[(96, 517), (105, 391), (141, 286), (191, 213), (245, 179), (291, 147), (369, 141), (430, 169), (424, 247), (398, 359), (416, 429), (430, 514), (459, 654), (475, 718), (417, 700), (298, 627), (201, 656), (136, 683), (108, 724), (89, 737), (89, 666), (97, 578), (99, 539)]","[(499, 232), (567, 133), (662, 141), (732, 180), (802, 276), (844, 356), (905, 521), (943, 595), (956, 734), (978, 770), (804, 696), (785, 673), (808, 615), (793, 561), (725, 515), (584, 446), (577, 404), (573, 357), (557, 312), (508, 294), (494, 256)]"
00000243_001.png,"[(105, 820), (138, 594), (169, 485), (182, 323), (242, 183), (292, 116), (355, 80), (417, 72), (496, 114), (511, 192), (497, 283), (483, 348), (453, 407), (442, 442), (446, 523), (411, 597), (397, 655), (388, 745), (388, 797), (249, 820), (179, 865), (119, 919), (96, 939), (83, 894), (101, 835)]","[(584, 329), (616, 295), (585, 251), (557, 214), (548, 160), (547, 88), (577, 39), (648, 51), (710, 75), (771, 140), (809, 276), (878, 450), (902, 655), (909, 736), (923, 901), (889, 943), (862, 910), (753, 851), (663, 820), (673, 785), (729, 746), (710, 696), (666, 590), (624, 558), (587, 514), (575, 429), (567, 358)]"
00000246_003.png,"[(102, 679), (158, 623), (263, 629), (335, 638), (421, 680), (373, 620), (398, 550), (432, 460), (462, 351), (470, 305), (503, 196), (441, 138), (353, 122), (279, 154), (236, 242), (196, 341), (163, 476), (146, 560), (127, 629), (108, 663)]","[(696, 634), (663, 560), (577, 426), (566, 375), (587, 312), (574, 268), (564, 226), (569, 112), (647, 95), (730, 131), (767, 161), (770, 164), (834, 272), (844, 361), (878, 542), (898, 654), (906, 726), (872, 726), (802, 678), (752, 660), (702, 647)]"
00000246_004.png,"[(181, 684), (244, 656), (360, 654), (477, 654), (469, 581), (469, 482), (478, 394), (491, 316), (500, 235), (454, 197), (270, 204), (221, 385), (197, 472), (178, 605), (173, 641)]","[(576, 222), (543, 420), (543, 493), (544, 496), (631, 547), (658, 581), (710, 626), (788, 660), (816, 685), (871, 700), (868, 631), (848, 511), (832, 436), (805, 362), (763, 287), (727, 235), (680, 207), (612, 207)]"
00000246_011.png,"[(212, 322), (295, 228), (357, 246), (440, 289), (429, 381), (420, 499), (417, 585), (414, 683), (411, 764), (353, 774), (291, 759), (135, 789), (102, 853), (92, 776), (138, 663), (122, 575), (134, 482), (145, 418), (180, 324)]","[(499, 276), (535, 238), (594, 219), (664, 224), (721, 268), (747, 326), (771, 408), (815, 588), (833, 660), (835, 704), (839, 738), (773, 707), (691, 712), (624, 723), (607, 715), (561, 646), (554, 589), (523, 465), (508, 403), (496, 310)]"
00000246_016.png,"[(62, 698), (91, 635), (162, 600), (286, 589), (321, 629), (373, 621), (410, 558), (410, 471), (410, 378), (422, 317), (451, 250), (461, 199), (452, 145), (392, 93), (354, 63), (281, 88), (159, 166), (142, 254), (120, 349), (107, 506), (88, 575), (58, 644), (48, 676)]","[(523, 180), (547, 128), (596, 95), (697, 99), (756, 264), (766, 289), (813, 516), (827, 549), (821, 625), (759, 685), (721, 712), (635, 716), (586, 693), (535, 591), (540, 476), (557, 365), (561, 299), (553, 265), (526, 205)]"
00000246_018.png,"[(78, 810), (133, 765), (232, 696), (307, 684), (375, 697), (429, 666), (426, 619), (453, 540), (468, 462), (480, 341), (493, 283), (467, 203), (344, 157), (274, 214), (204, 336), (163, 448), (141, 552), (128, 619), (115, 674), (100, 730), (90, 763)]","[(527, 286), (565, 183), (633, 178), (717, 202), (764, 244), (809, 309), (837, 404), (876, 498), (892, 606), (902, 698), (933, 761), (937, 813), (899, 815), (842, 754), (788, 719), (692, 702), (663, 665), (679, 625), (616, 544), (588, 509), (571, 440), (547, 355), (546, 297)]"
00000248_020.png,"[(206, 599), (237, 492), (281, 365), (374, 282), (429, 288), (449, 365), (442, 457), (437, 551), (431, 660), (437, 743), (431, 823), (397, 857), (305, 844), (244, 891), (174, 931), (154, 827), (171, 713), (196, 618)]","[(525, 367), (578, 292), (628, 267), (679, 283), (747, 358), (801, 439), (830, 614), (861, 784), (889, 878), (899, 967), (894, 998), (802, 943), (761, 878), (668, 805), (605, 784), (577, 718), (578, 648), (571, 584), (539, 515), (528, 478), (520, 404)]"
